Ticker,Morningstar Sustainability Rating,Average Market Cap ($ mil),ROE Last Year (%),Debt/Capital Last Year (%),No. of Holdings in Portfolio,% Assets in Top 10 Holdings,Turnover Ratio (%),Average Manager Tenure (years),Expense Ratio (%),Minimum Initial Purchase ($),Total Assets ($ mil),3-year Annualized Return vs. S&P500,Outperform / Underperform,No-load Funds,Closed to New Investors
LCBIX,3,2139,8.64,43.87,75,21.23,43,2,0.9,1000000,113,-12.24,0,1,0
LGLVX,1,96415,15.94,37.03,79,33.77,93,8,0.6,0,8939,20.36,1,1,0
MNRMX,3,63843,26.1,45.33,31,49.6,10,25,1.25,1000,7,-8.48,0,1,0
LCIAX,3,132447,24.54,45.02,1004,24.22,32,8,0.04,100000,2200,2.74,1,1,0
SGFCX,1,11232,-12.89,36.45,136,24.74,13,22,2.51,1000,84,25.05,1,0,0
OLGCX,3,152879,27.08,41.19,77,37.1,47,4,1.44,1000,33901,14.209999999999996,1,0,0
MSEFX,1,84516,13.07,38.87,76,28.94,25,9,1.24,10000,251,-2.6500000000000004,0,1,0
MXOAX,4,10113,10.13,46.11,41,37.99,33,14,0.7,0,148,-5.820000000000001,0,1,0
IRLSX,3,462145,38.83,46.21,110,54.12,19,8,0.68,0,1483,9.66,1,1,0
VVISX,5,2046,1.65,47.33,29,53.52,102,6,1.0,1000000,742,-5.6000000000000005,0,1,0
SCGNX,2,1544,-2.04,42.14,45,33.03,205,4,1.45,2000,50,8.93,1,1,0
RSGCX,3,55819,13.49,45.13,470,23.21,126,3,2.25,0,158,-4.07,0,0,0
JMGPX,4,24017,12.22,40.57,110,16.57,63,11,1.24,0,7900,11.32,1,1,0
MARFX,3,16769,6.14,45.33,98,20.75,25,4,0.85,2000000,381,-4.2700000000000005,0,1,0
WSCRX,3,3978,-1.7,39.82,128,14.14,41,12,0.89,0,1499,4.059999999999999,1,1,1
QBLGX,3,147896,36.33,47.19,102,41.6,220,8,1.9,1500,188,6.98,1,0,1
VDSRX,3,72465,28.58,44.89,79,30.44,95,2,0.78,0,292,-2.9600000000000017,0,1,0
AVFIX,3,2475,5.65,39.08,640,11.91,61,11,0.82,250000,5786,-7.710000000000001,0,1,0
ATIRX,5,3271,15.26,59.77,27,59.42,102,0,1.53,0,286,-6.780000000000001,0,0,0
LCBVX,4,95714,22.35,51.22,55,34.04,23,15,1.22,0,1700,-6.9700000000000015,0,0,0
JHSGX,4,233311,34.1,41.11,46,48.66,91,2,0.89,0,1374,6.029999999999998,1,1,0
ATDAX,3,8976,10.23,50.86,37,47.52,81,0,1.4,1000,113,-12.21,0,0,0
EICVX,3,44744,14.32,45.3,41,34.51,36,10,1.15,2500,149,-6.8100000000000005,0,0,0
HDGCX,4,127421,20.81,46.77,75,29.96,28,6,1.78,2000,10896,-5.560000000000001,0,0,0
BSVGX,3,1535,7.29,35.91,175,10.68,82,4,0.84,0,71,-9.16,0,1,0
ALVIX,3,94888,17.59,40.99,45,40.88,72,2,0.84,2500,871,-6.6000000000000005,0,1,0
SPYGX,3,12140,-9.18,49.43,26,49.17,39,3,1.0,100000,1880,22.62,1,1,0
LLSCX,3,3649,5.46,57.97,17,65.19,22,21,0.93,10000,1983,-4.7,0,1,0
DMCYX,3,16108,1.69,42.66,63,23.9,92,6,0.84,0,491,-4.94,0,1,0
HSMAX,3,1844,2.79,40.27,63,19.35,62,2,1.29,2000,106,-6.590000000000002,0,0,0
SASVX,4,4959,11.41,38.54,56,40.16,42,24,1.47,2500,494,-10.16,0,0,0
DWOAX,2,189215,24.91,39.71,53,46.16,55,2,1.03,1000,2198,10.13,1,0,0
LSITX,4,202379,25.08,43.58,48,44.3,25,10,0.63,1000000,18598,6.1099999999999985,1,1,0
CFDAX,5,121342,33.65,38.87,44,29.03,73,1,1.5,1000,55,-7.170000000000001,0,0,0
ETGLX,3,16402,6.85,40.94,77,35.55,35,13,1.38,1000,4550,12.5,1,1,0
THLCX,3,294701,31.56,44.55,45,55.73,58,2,0.79,2000,1768,10.080000000000002,1,1,0
BAWAX,4,102955,29.34,41.05,34,39.02,20,9,1.1,100,4843,10.06,1,1,0
SLRYX,3,220158,32.62,43.35,161,39.96,58,3,0.64,100000,1689,7.66,1,1,0
PIGFX,4,191977,35.11,44.99,40,48.13,23,11,1.07,1000,6898,5.41,1,0,0
GACIX,2,3319,10.74,40.94,440,19.45,0,29,1.16,500000,1869,-6.070000000000001,0,1,0
TVOAX,1,2974,5.01,41.19,92,21.6,41,5,1.38,2500,68,-8.780000000000001,0,0,0
SEMCX,3,14517,20.34,42.86,220,10.05,108,9,0.98,100000,75,-6.700000000000001,0,1,0
ALFVX,3,3517,4.6,34.51,6,100.0,17,4,0.09,0,854,2.889999999999999,1,1,0
BGMAX,5,12018,15.76,37.34,75,21.29,56,3,1.24,1000,22,3.2399999999999984,1,0,0
JCVSX,2,25171,-1.16,46.78,39,39.39,35,12,1.31,0,1871,-13.170000000000002,0,1,0
TWQCX,1,96739,18.2,43.71,45,32.52,184,0,1.83,1000,1911,-11.8,0,0,0
EATVX,3,97863,21.89,47.63,68,31.25,25,4,1.17,1000,656,-4.61,0,0,0
SMMIX,2,95897,20.08,40.61,114,40.96,38,8,0.84,0,3673,10.59,1,1,1
PLXGX,2,112200,18.38,35.31,44,49.59,4,5,1.01,100000,776,8.689999999999998,1,1,0
TFCCX,4,123031,30.48,47.1,29,47.56,20,2,1.78,2500,331,-5.9700000000000015,0,0,0
TSMDX,4,7456,9.79,39.48,69,25.31,35,4,0.98,100000,21,-2.860000000000001,0,1,0
MRLIX,5,104375,37.53,43.76,56,23.48,40,6,0.66,5000000,92,2.5,1,1,0
CICEX,2,165629,22.23,45.93,207,34.18,31,14,0.88,250,111362,-3.45,0,0,0
HMVJX,2,8695,8.54,40.9,83,19.39,61,4,0.91,2000,746,-7.330000000000001,0,1,0
VRTGX,2,3119,-2.73,35.09,1161,6.68,38,5,0.08,5000000,1394,7.170000000000003,1,1,0
RIMHX,3,53120,25.73,53.54,74,31.68,20,18,1.15,0,241,-9.57,0,1,0
TILWX,3,193993,24.23,37.88,87,44.31,143,7,0.0,0,6740,11.22,1,1,0
FFQCX,2,213301,20.25,36.94,44,47.14,34,5,1.85,1000,72,12.52,1,0,0
DDDAX,2,3633,1.78,53.74,33,43.16,119,9,1.75,2500,239,-3.2300000000000004,0,0,0
CCSMX,3,7155,15.19,29.79,51,29.59,11,6,1.1,2500,310,6.02,1,1,0
VSTSX,2,100020,22.61,44.62,3634,22.34,4,15,0.01,0,205700,2.77,1,1,0
FEICX,2,45645,17.85,48.13,120,22.54,65,4,1.72,0,1437,-9.24,0,0,0
HSVRX,3,4203,8.42,39.53,56,29.87,17,19,1.13,50000,2291,-4.500000000000001,0,1,0
ACAYX,3,271237,26.92,39.22,76,52.25,84,11,0.75,500000,4081,9.84,1,1,0
CPECX,2,67784,29.29,48.45,29,49.61,106,7,2.14,2500,187,-5.65,0,0,0
FSCRX,5,3052,10.65,42.76,88,30.13,52,5,0.61,0,2620,-4.630000000000001,0,1,0
MDBAX,2,47409,9.4,47.32,90,26.14,73,2,0.83,1000,1882,-7.120000000000001,0,0,0
CPODX,1,42148,-9.08,34.39,45,48.8,93,16,0.9,5000000,7829,35.09,1,1,0
LMVOX,2,1899,2.51,48.15,45,31.26,77,2,0.95,0,183,-4.090000000000002,0,1,0
NOLVX,2,45669,14.27,41.83,167,20.48,80,6,0.55,2500,59,-6.57,0,1,0
NBMBX,3,19946,6.77,40.72,92,17.59,55,7,1.2,0,1919,6.719999999999999,1,1,1
GTTTX,2,1388,5.45,39.66,428,8.51,153,9,0.97,0,1044,-6.960000000000001,0,1,0
AZSPX,3,744,6.9,27.11,194,13.93,106,5,1.27,2500,89,-4.16,0,1,0
VISGX,4,6780,3.28,36.64,613,7.35,18,10,0.19,3000,35400,8.669999999999998,1,1,1
SVACX,2,85761,18.86,50.79,42,41.9,38,6,1.8,1500,7153,-12.59,0,0,0
MDDRX,2,74343,21.71,48.45,247,23.98,52,9,1.03,0,381,-8.430000000000001,0,1,0
FCGSX,2,132434,16.0,35.39,490,42.75,19,7,0.0,0,13327,19.04,1,1,1
WLCVX,2,45979,12.72,45.93,441,30.78,48,4,0.98,250000,193,-9.63,0,1,0
HFDRX,4,13829,13.22,40.2,81,18.91,53,3,1.53,0,757,-5.800000000000002,0,0,0
DREVX,2,214347,30.02,44.44,47,41.79,28,2,0.72,2500,1565,3.3599999999999994,1,1,0
NWQRX,3,4346,8.15,33.08,58,27.51,58,3,1.56,0,30,-9.29,0,0,0
EAFVX,2,57886,13.13,40.01,38,35.41,109,4,1.05,1000,245,-4.19,0,0,0
PECAX,4,8367,18.6,42.95,96,18.33,92,0,1.14,1000,401,-5.78,0,0,0
FRSLX,3,18293,8.32,41.48,72,22.56,89,1,1.17,3000,467,6.830000000000003,1,0,0
FCMVX,3,9794,16.29,37.39,86,37.7,102,4,0.44,0,39,-10.11,0,1,0
FCGAX,3,118730,26.82,41.82,135,28.99,9,6,0.56,100000,20569,5.4499999999999975,1,1,0
AAUTX,3,73827,19.91,46.55,88,29.18,19,8,0.9,2000,1302,-7.550000000000002,0,0,0
OTCIX,5,21470,13.35,39.89,107,23.0,34,11,0.79,0,14337,9.170000000000002,1,1,0
GSRCX,3,31083,25.13,49.28,132,18.17,43,2,1.84,1000,496,-5.460000000000001,0,0,1
TLGCX,1,35334,20.19,43.09,54,45.22,23,7,2.24,1000,113,-3.700000000000001,0,0,0
PEIJX,2,79172,16.73,46.08,64,26.38,17,5,0.82,1000,10022,-3.3300000000000014,0,0,0
CSSWX,4,3188,5.3,35.71,76,22.87,22,9,1.25,1000,434,5.529999999999998,1,1,0
HUMEX,1,2579,9.52,47.13,43,46.38,119,5,1.0,1000000,6,-11.79,0,1,0
MEIAX,3,93338,20.67,46.53,78,29.38,16,8,0.82,1000,54503,-6.67,0,0,0
JSMGX,3,5791,4.5,40.7,125,19.08,32,6,0.76,1000000,12900,3.34,1,1,1
HQIFX,3,99596,19.35,46.06,70,27.81,31,5,0.66,1000000,4264,-5.630000000000001,0,1,0
MSPRX,1,68600,7.24,35.97,43,53.17,70,13,1.9,1000,919,15.11,1,0,0
MSSCX,1,4584,-10.0,39.72,113,25.73,206,11,0.95,100000,27,13.579999999999998,1,1,0
FDGFX,4,70557,19.75,48.05,129,24.33,69,1,0.48,0,6737,-5.0600000000000005,0,1,0
SWANX,3,139941,33.74,46.97,143,35.89,97,7,0.73,0,2189,-2.7200000000000006,0,1,0
FVWSX,3,219611,24.31,34.91,357,45.56,27,8,0.0,0,7356,5.479999999999999,1,1,0
BIASX,4,5807,0.54,39.39,84,26.97,29,9,1.12,100,2412,6.399999999999999,1,1,0
EMIVX,4,162582,28.83,42.15,54,42.39,23,8,1.39,250,9996,5.289999999999999,1,0,0
JSJIX,3,3703,2.17,40.08,56,26.29,98,3,1.05,250000,669,2.9499999999999997,1,1,0
MLUYX,3,16957,11.84,41.79,95,20.83,74,5,1.0,0,119,-8.22,0,1,0
TRSEX,2,2246,1.43,36.63,417,7.72,93,3,0.65,0,3113,-2.74,0,1,1
KSMVX,1,4317,10.31,45.74,79,22.07,21,3,1.39,2500,44,-9.02,0,0,0
LAVSX,2,64834,22.2,47.85,75,22.34,59,2,0.94,0,1832,-7.66,0,1,0
IVALX,3,48303,12.48,47.31,39,33.44,68,18,0.77,1000000,1222,-6.84,0,1,0
ABCVX,5,153064,30.55,45.8,33,43.08,21,7,1.07,2500,1523,-2.8800000000000012,0,1,0
CSECX,5,106672,25.77,48.22,84,39.82,16,6,1.69,1000,5809,4.7799999999999985,1,0,0
ACSDX,1,50662,9.82,46.41,83,25.49,30,13,0.57,1000,8796,-9.08,0,1,0
NMAVX,2,10060,7.91,27.26,58,46.29,124,5,1.18,2500,3331,-3.110000000000001,0,0,0
TIRTX,3,193993,24.23,37.88,87,44.31,143,7,0.7,2500,6740,9.69,1,1,0
MFCCX,1,5440,0.41,43.81,74,25.11,76,19,2.17,2500,660,-2.08,0,0,0
LMSAX,4,2439,6.79,43.68,92,17.12,49,8,1.07,1000,1225,-4.270000000000001,0,0,0
RCMFX,3,14246,18.04,23.34,29,61.03,28,25,1.25,2500,18,-5.82,0,1,0
FIKNX,4,2613,7.21,41.03,98,19.68,109,4,0.79,0,2369,-5.0600000000000005,0,1,0
CGRWX,1,63265,11.07,48.9,36,46.22,11,2,0.93,1000,577,-8.540000000000001,0,0,0
MBCGX,3,241308,25.63,38.89,147,42.18,28,10,1.18,0,4602,5.219999999999999,1,0,0
CMCCX,4,18646,14.64,33.46,66,22.99,63,3,1.9,2000,2115,5.0299999999999985,1,0,0
JCVVX,2,25171,-1.16,46.78,39,39.39,35,12,0.86,0,1871,-12.28,0,1,0
TSVIX,2,6211,6.13,40.45,216,14.69,65,5,0.95,1000000,748,-6.360000000000001,0,1,0
FBSRX,3,35255,10.97,44.89,52,31.38,58,5,1.18,1000,721,-10.760000000000002,0,0,0
SLVRX,1,60589,13.94,50.95,39,35.82,18,14,1.05,0,1203,-6.78,0,0,0
VASVX,2,6252,3.92,42.95,129,17.76,85,5,0.31,3000,5766,-8.440000000000001,0,1,0
GMVRX,2,6090,7.49,42.65,197,10.2,76,7,1.48,0,135,-7.15,0,0,0
LOGWX,3,5286,-6.16,30.88,102,17.28,122,6,0.59,0,5141,24.479999999999997,1,1,0
MMDEX,4,321684,36.34,43.91,207,46.38,32,8,0.43,100000,420,8.18,1,1,0
VWUAX,3,152935,21.33,41.46,256,37.92,38,6,0.28,50000,45149,15.799999999999995,1,1,0
BOSVX,1,681,2.31,43.13,670,7.53,43,8,0.54,0,1100,-10.510000000000002,0,1,0
FSGAX,3,17088,2.16,37.87,126,18.99,53,16,0.62,100000,5241,12.979999999999995,1,1,0
HDMBX,3,4550,-4.01,34.37,120,16.66,79,8,1.04,0,644,15.04,1,1,1
DRGYX,2,49047,10.07,46.06,84,26.9,103,13,0.65,0,1400,-6.51,0,1,0
PSTWX,3,2203,4.8,40.45,1601,13.19,92,12,1.34,0,1156,-8.25,0,1,0
ADCYX,3,217864,32.49,44.59,145,47.66,142,4,0.76,0,491,4.869999999999999,1,1,0
TCMSX,4,3488,3.76,31.33,84,24.07,111,6,0.94,2500,472,6.759999999999998,1,1,0
LBISX,3,73939,24.28,47.34,218,31.14,54,10,0.7,1000000,533,-8.120000000000001,0,1,0
GSXPX,2,1388,5.45,39.66,428,8.51,153,9,0.83,0,1044,-6.360000000000001,0,1,0
ATRIX,4,17256,12.37,53.6,104,18.76,88,6,1.43,0,230,-4.15,0,0,0
FUQIX,4,211247,43.39,44.28,82,50.46,60,4,0.11,0,7932,3.65,1,1,0
FFMMX,4,101581,24.68,48.98,175,23.07,24,10,0.38,250,70768,-4.3500000000000005,0,1,0
SENCX,3,238608,24.06,40.18,45,44.8,29,3,1.01,2500,2028,3.229999999999998,1,0,0
HGITX,2,161048,26.31,44.68,72,31.6,22,10,0.47,0,10471,3.169999999999998,1,1,0
FTVZX,4,11300,13.31,53.17,67,25.96,30,3,0.8,1000000,68,-4.830000000000001,0,1,0
AUIKX,4,125398,29.25,48.83,68,40.45,43,3,1.1,0,491,-6.58,0,1,0
LGLQX,1,96415,15.94,37.03,79,33.77,93,8,1.25,0,8939,18.86,1,0,0
FDGIX,4,70349,19.72,48.03,129,24.26,113,1,0.57,0,1031,-5.130000000000001,0,1,0
RESCX,3,8392,8.29,40.96,69,24.12,94,16,1.1,1000000,125,3.810000000000001,1,1,0
LOGRX,5,99697,23.93,41.67,28,48.52,52,9,1.19,10000,375,-2.700000000000001,0,1,0
GQPSX,4,201682,31.06,41.83,3,98.98,7,3,0.1,0,286,3.65,1,1,0
VYCAX,2,134945,22.52,51.65,103,12.19,103,9,0.82,1000,747,-2.74,0,0,0
PVIVX,2,1302,-9.13,42.32,56,36.53,86,9,1.25,2500,117,7.57,1,1,0
JLGQX,3,152879,27.08,41.19,77,37.1,47,4,0.69,0,33901,15.9,1,1,0
IRVSX,3,138564,15.93,44.87,157,25.36,24,8,0.66,0,844,-6.940000000000001,0,1,0
AASSX,3,2475,5.65,39.08,640,11.91,61,11,1.25,2500,5786,-8.620000000000001,0,1,0
PJARX,3,2203,4.8,40.45,1601,13.19,92,12,1.53,0,1156,-8.620000000000001,0,1,0
ASVPX,3,3571,11.05,36.95,150,21.61,126,9,0.92,1000000,562,-13.04,0,1,0
LMCSX,3,11132,14.38,44.93,77,18.35,69,5,0.98,0,1354,-8.71,0,1,0
REGWX,1,3914,-9.94,39.82,104,20.52,100,10,2.16,2500,3097,5.73,1,0,0
FLMVX,4,14611,9.81,44.33,111,15.45,18,20,0.75,3000000,14975,-7.460000000000001,0,1,1
ALVRX,3,94888,17.59,40.99,45,40.88,72,2,1.34,2500,871,-7.590000000000002,0,0,0
DTCCX,4,188676,31.19,46.03,37,47.0,36,3,1.7,1000,452,2.41,1,0,0
AEIMX,2,81529,23.7,43.44,105,31.07,85,17,0.0,0,11794,-4.8100000000000005,0,1,0
TMFGX,4,12643,7.73,31.83,33,41.78,14,8,1.1,500,331,2.9599999999999986,1,1,0
NGQIX,3,163126,27.32,43.26,85,36.13,155,1,0.41,1000000,4,-3.2500000000000013,0,1,0
WBGSX,3,87038,24.25,40.11,58,44.16,39,15,1.2,2500,295,9.07,1,1,0
LSVQX,4,1991,7.24,45.05,233,10.26,23,7,0.83,100000,334,-11.93,0,1,0
CPTUX,2,112035,21.34,40.83,103,44.19,31,0,0.67,1000000,5228,7.349999999999998,1,1,0
WMMCX,1,651,4.32,35.72,378,24.08,2,8,2.18,1000,679,-8.57,0,0,0
FRBSX,3,35255,10.97,44.89,52,31.38,58,5,0.93,1000,721,-10.260000000000002,0,0,0
FJACX,5,2974,11.29,42.45,90,29.25,51,5,0.0,0,1488,-2.0,0,1,0
JMVAX,2,10030,17.4,42.24,64,27.94,37,7,0.85,1000000,2713,-7.920000000000001,0,1,0
VMIDX,3,5906,10.55,40.74,406,7.31,14,5,0.36,0,3503,-2.500000000000001,0,1,0
FFFMX,4,101581,24.68,48.98,175,23.07,24,10,0.33,250,70768,-4.300000000000002,0,1,0
FDESX,2,142746,26.13,43.21,203,31.22,78,4,0.45,0,2600,2.5600000000000005,1,1,1
ANPRX,3,19560,17.81,43.95,139,16.58,197,7,0.59,0,1399,-8.88,0,1,0
TIEIX,2,99015,22.94,44.54,2953,22.34,12,8,0.05,10000000,31523,2.629999999999999,1,1,0
HADUX,2,72613,26.02,48.97,66,28.99,369,4,1.24,2500,118,-11.78,0,1,0
OPMYX,4,17004,13.86,41.03,82,21.04,27,8,0.84,1000,2755,-3.3500000000000005,0,1,0
FRVLX,2,2622,6.12,35.23,89,25.89,67,5,1.07,1000,3107,-5.600000000000001,0,0,0
SCQGX,4,175230,29.23,41.77,49,49.02,21,4,0.87,2500,359,10.979999999999995,1,1,0
CUSRX,3,1819,0.86,34.22,38,39.85,111,9,1.25,1000,8,-4.1400000000000015,0,1,0
FAGOX,2,121246,11.44,37.91,268,35.55,47,6,1.3,0,19894,25.87,1,0,0
MSGZX,3,4612,2.28,33.32,268,9.73,79,11,0.87,0,772,10.509999999999998,1,1,0
ECOLX,5,41086,17.97,29.27,47,35.27,36,6,1.21,2500,16,11.45,1,1,0
GCMUX,3,16021,6.49,43.96,114,16.66,87,4,0.85,5000000,1100,-3.0400000000000014,0,1,0
AULDX,3,304076,30.27,42.76,63,52.32,6,11,0.62,0,19061,13.489999999999998,1,1,0
PRILX,5,136646,23.9,42.09,39,40.13,37,14,0.63,100000,23600,3.8599999999999977,1,1,0
LDPCX,3,137635,27.29,50.52,171,11.81,78,0,2.5,2500,22,-3.98,0,0,0
ASVDX,4,2270,3.66,42.21,102,23.62,71,5,0.9,0,3169,-3.4400000000000013,0,1,0
KNGAX,1,39270,22.93,47.51,66,17.84,170,3,1.21,1000,62,-4.36,0,0,0
MONTX,2,261419,22.54,46.76,37,53.18,62,23,1.4,1000,77,3.3599999999999994,1,1,0
SAIFX,4,95714,22.35,51.22,55,34.04,23,15,0.53,1000000,1729,-5.520000000000001,0,1,0
BRWSX,3,220975,34.1,43.04,100,43.99,61,5,0.99,0,251,4.43,1,0,0
RGACX,2,144040,16.32,41.62,392,35.89,28,10,0.95,250,263828,5.940000000000001,1,0,0
CCACX,5,15331,12.96,39.21,71,22.7,70,4,1.93,1000,273,-2.700000000000001,0,0,0
PMDIX,4,5445,10.67,38.85,72,25.95,29,6,0.85,0,1707,-10.34,0,1,0
NGQCX,3,163126,27.32,43.26,85,36.13,155,1,1.52,1000,4,-5.58,0,0,0
RSEIX,4,1231,13.19,14.25,38,40.93,20,14,1.14,1000000,998,-7.920000000000001,0,1,0
APDLX,4,82254,13.52,46.18,41,40.65,39,7,0.88,250000,323,-6.53,0,1,0
FVLTX,5,68687,16.81,39.21,54,37.25,144,6,1.5,0,21,-12.14,0,0,0
ICSSX,2,2689,2.61,43.44,123,13.39,25,15,1.12,0,163,-6.8900000000000015,0,1,0
HQICX,3,99596,19.35,46.06,70,27.81,31,5,1.76,2000,4264,-7.8900000000000015,0,0,0
CFGRX,3,190275,34.51,45.53,64,41.8,37,13,0.71,1000,227,7.629999999999999,1,1,0
CCSGX,3,7155,15.19,29.79,51,29.59,11,6,0.85,250000,310,6.549999999999998,1,1,0
PEIOX,2,79172,16.73,46.08,64,26.38,17,5,1.08,0,10022,-4.110000000000001,0,1,0
TIAGX,4,13320,6.07,39.79,55,32.57,96,7,1.36,100000,41,2.78,1,1,0
PTMCX,2,139865,28.33,44.07,200,28.64,92,11,1.44,1000,695,-3.9600000000000013,0,0,0
OLGAX,3,152879,27.08,41.19,77,37.1,47,4,0.94,1000,33901,15.339999999999995,1,0,0
DDVIX,3,71963,18.27,47.8,40,31.38,16,11,0.68,0,10729,-7.9300000000000015,0,1,0
SGRHX,1,76348,12.97,36.95,91,39.93,37,11,0.7,0,6005,13.59,1,1,0
HDCAX,4,83547,27.72,51.36,51,28.98,394,1,1.25,1000,61,-7.530000000000001,0,0,0
LGLSX,1,96415,15.94,37.03,79,33.77,93,8,0.9,0,8939,19.67,1,1,0
NBHAX,2,59896,19.52,46.72,83,25.08,56,10,1.06,1000,1317,-6.3900000000000015,0,0,0
OFVIX,4,38828,27.51,58.53,66,34.64,83,4,0.57,10000,196,-8.24,0,1,0
VLEQX,3,12064,12.09,44.68,21,52.82,35,8,1.22,2000,52,-2.0300000000000007,0,1,0
CZMVX,3,82058,17.61,45.57,438,18.89,19,5,0.74,100,4295,-5.230000000000001,0,1,0
RSIKX,2,12583,10.5,44.34,29,52.89,64,7,1.95,0,28,-8.940000000000003,0,0,0
TADAX,3,207236,27.8,41.25,69,43.64,28,5,1.08,1000,2067,9.81,1,0,0
VITSX,2,100020,22.61,44.62,3634,22.34,4,15,0.03,5000000,1089792,2.7200000000000006,1,1,0
MEFYX,3,20338,10.76,45.21,209,17.04,37,11,0.91,0,9846,3.75,1,1,1
MIRGX,4,162582,28.83,42.15,54,42.39,23,8,0.97,0,9996,5.870000000000001,1,0,0
PRWAX,2,114676,19.51,42.54,91,32.78,84,5,0.78,2500,7760,11.229999999999995,1,1,0
GCTAX,2,61690,24.44,44.49,329,26.41,205,6,1.1,1000,1911,-2.700000000000001,0,0,0
RRSVX,2,1866,7.53,35.87,86,20.46,77,5,0.8,250000,78,-11.61,0,1,0
KNPCX,5,6699,22.89,28.61,52,63.01,1,16,2.39,2500,672,-5.41,0,0,0
DEIGX,4,256718,40.8,41.38,73,42.68,50,0,0.76,0,265,5.1,1,1,0
DQIYX,3,141025,30.92,54.45,100,39.45,51,4,0.76,1000000,923,-4.74,0,1,0
GSTIX,3,235542,27.17,41.02,77,43.84,39,14,0.76,1000000,193,10.569999999999997,1,1,0
PRSVX,2,2626,5.37,37.19,301,10.5,22,7,0.77,2500,11792,-2.83,0,1,0
EDFAX,5,27220,32.97,52.99,42,30.92,70,4,1.13,500,45,-8.540000000000001,0,0,0
SVMCX,2,3587,7.48,39.69,57,28.48,17,5,2.06,2000,500,-8.520000000000001,0,0,0
LDVIX,4,122697,22.96,40.44,142,25.5,115,0,1.5,5000,247,19.05,1,1,0
DRYQX,2,189215,24.91,39.71,53,46.16,55,2,0.78,0,2198,10.68,1,1,0
DHPIX,2,8933,3.67,46.51,60,29.74,31,7,0.77,2500,252,-7.870000000000001,0,1,0
VUVLX,2,35183,15.8,47.32,278,18.87,54,9,0.22,3000,1054,-9.7,0,1,0
BRWUX,3,220975,34.1,43.04,100,43.99,61,5,0.49,0,251,5.519999999999998,1,1,0
OTCGX,5,21470,13.35,39.89,107,23.0,34,11,1.79,0,14337,6.98,1,0,0
PRVIX,2,2626,5.37,37.19,301,10.5,22,7,0.66,1000000,11792,-2.6100000000000008,0,1,0
PFKAX,3,3174,-0.33,41.52,114,14.15,42,4,1.23,1000,16,-6.860000000000001,0,0,0
GWSCX,2,6638,1.83,54.31,38,53.98,59,9,2.46,1000,36,-12.38,0,0,0
MFLLX,5,2789,-24.26,28.51,44,54.47,99,16,0.92,10000000,1361,50.62000000000001,1,1,0
WSMRX,2,8288,11.37,42.94,78,22.11,56,3,1.05,1000000,3594,7.279999999999998,1,1,0
PFPCX,4,4904,0.98,42.07,106,14.53,36,4,1.98,1000,314,-7.1800000000000015,0,0,0
NDGCX,3,80921,21.39,47.88,42,33.98,39,3,1.8,1000,56,-4.260000000000002,0,0,0
VYRIX,4,21751,14.38,39.71,282,12.8,16,16,0.77,0,1431,7.6099999999999985,1,1,0
LGLRX,1,96415,15.94,37.03,79,33.77,93,8,1.15,0,8939,19.1,1,0,0
JMVZX,4,14611,9.81,44.33,111,15.45,18,20,1.49,0,14975,-8.97,0,0,0
RWMHX,2,117267,20.76,46.39,182,30.64,30,9,0.41,250,138572,-2.8100000000000005,0,1,0
LGRNX,3,204223,27.34,39.72,35,50.23,19,11,0.57,1000000,12608,5.289999999999999,1,1,1
DRMCX,4,17283,12.26,39.89,71,22.58,53,0,0.79,1000000,456,12.47,1,1,0
HIGUX,5,153772,29.2,48.21,42,36.09,41,6,0.62,0,862,-3.5000000000000013,0,1,0
HRMVX,3,7314,11.57,48.57,145,14.54,4,12,1.13,50000,414,-12.49,0,1,0
DFDMX,4,19768,12.14,38.01,36,42.96,31,10,0.98,2500,672,7.629999999999999,1,1,0
MRGRX,2,105802,23.81,43.71,190,29.76,46,13,0.71,0,4822,2.3099999999999987,1,1,0
SGRNX,1,76348,12.97,36.95,91,39.93,37,11,0.75,1000000,6005,13.48,1,1,0
NSCQX,3,2632,5.69,34.41,58,28.72,43,3,1.6,0,236,-10.82,0,0,0
AMAGX,5,129545,38.74,44.57,37,53.15,0,4,1.02,250,2878,9.21,1,1,0
ATDRX,3,8976,10.23,50.86,37,47.52,81,0,1.65,0,113,-12.72,0,0,0
GTLOX,5,55989,25.14,42.32,90,17.9,66,12,0.87,0,1359,-5.48,0,1,0
KCVSX,3,38243,19.5,45.73,68,22.14,68,5,1.0,0,88,-7.0600000000000005,0,1,0
PFVIX,3,83928,16.86,44.13,74,24.39,53,4,0.67,0,23,-6.340000000000002,0,1,0
LSRYX,3,1395,4.82,44.18,59,25.15,79,6,1.0,1000000,1,-10.14,0,1,0
LMVFX,1,39618,5.58,49.73,69,26.73,74,9,1.15,0,1849,-5.49,0,1,0
ANOIX,3,4039,-1.98,41.98,143,13.37,141,5,1.22,2500,1954,12.97,1,1,0
TRIRX,3,250027,34.56,45.05,450,43.63,33,8,0.3,0,13215,9.959999999999997,1,1,0
MFOCX,3,279123,28.58,46.28,31,50.72,45,12,1.24,2500,846,10.010000000000002,1,1,0
SMCIX,3,1942,4.74,36.14,606,6.02,20,17,0.83,1000,64,-2.0100000000000016,0,1,0
